tag,count,frequency (%)
powershell,115,0.1020580222042758
coding-style,114,0.10117056114162992
path,113,0.10028310007898404
file-io,113,0.10028310007898404
terminal,113,0.10028310007898404
visual-studio-2010,112,0.09939563901633817
laravel,111,0.0985081779536923
android-fragments,111,0.0985081779536923
optimization,111,0.0985081779536923
directory,111,0.0985081779536923
oracle,111,0.0985081779536923
parsing,110,0.0976207168910464
reflection,110,0.0976207168910464
operators,109,0.09673325582840053
lambda,108,0.09584579476575465
branch,108,0.09584579476575465
csv,107,0.09495833370310877
math,106,0.0940708726404629
ruby-on-rails-3,106,0.0940708726404629
terminology,106,0.0940708726404629
asynchronous,105,0.09318341157781702
time,104,0.09229595051517114
validation,103,0.09140848945252528
null,103,0.09140848945252528
scripting,102,0.0905210283898794
uitableview,101,0.08963356732723352
visual-studio-code,101,0.08963356732723352
unicode,100,0.08874610626458765
hibernate,100,0.08874610626458765
floating-point,99,0.08785864520194177
sql-server-2005,99,0.08785864520194177
asp.net-web-api,98,0.08697118413929589
css-selectors,97,0.08608372307665
sqlite,97,0.08608372307665
python-2.7,96,0.08519626201400414
pointers,96,0.08519626201400414
constructor,94,0.08342133988871238
c++-faq,94,0.08342133988871238
static,94,0.08342133988871238
ssl,93,0.08253387882606651
r-faq,92,0.08164641776342063
testing,92,0.08164641776342063
events,91,0.08075895670077475
jpa,91,0.08075895670077475
curl,90,0.07987149563812888
amazon-web-services,89,0.078984034575483
android-activity,89,0.078984034575483
asp.net-mvc-3,89,0.078984034575483
browser,89,0.078984034575483
data-structures,88,0.07809657351283712
cocoa,87,0.07720911245019126
apache,87,0.07720911245019126
exception-handling,87,0.07720911245019126
grep,87,0.07720911245019126
post,87,0.07720911245019126
if-statement,86,0.07632165138754538
hash,86,0.07632165138754538
functional-programming,86,0.07632165138754538
winforms,85,0.0754341903248995
database-design,85,0.0754341903248995
stl,85,0.0754341903248995
serialization,85,0.0754341903248995
http-headers,84,0.07454672926225363
merge,83,0.07365926819960775
for-loop,82,0.07277180713696187
integer,81,0.07188434607431599
junit,81,0.07188434607431599
text,80,0.07099688501167012
split,80,0.07099688501167012
textview,80,0.07099688501167012
haskell,79,0.07010942394902424
casting,79,0.07010942394902424
naming-conventions,79,0.07010942394902424
properties,79,0.07010942394902424
interface,79,0.07010942394902424
user-interface,78,0.06922196288637836
keyboard-shortcuts,78,0.06922196288637836
layout,78,0.06922196288637836
authentication,78,0.06922196288637836
maven-2,78,0.06922196288637836
android-gradle-plugin,77,0.06833450182373249
indexing,77,0.06833450182373249
input,77,0.06833450182373249
replace,77,0.06833450182373249
async-await,77,0.06833450182373249
memory,77,0.06833450182373249
cmd,76,0.06744704076108661
environment-variables,76,0.06744704076108661
git-branch,75,0.06655957969844073
colors,75,0.06655957969844073
formatting,75,0.06655957969844073
memory-management,75,0.06655957969844073
configuration,75,0.06655957969844073
caching,75,0.06655957969844073
encoding,75,0.06655957969844073
console,74,0.06567211863579486
ide,74,0.06567211863579486
api,74,0.06567211863579486
email,74,0.06567211863579486
gitignore,74,0.06567211863579486
networking,73,0.06478465757314898
build,73,0.06478465757314898
concurrency,73,0.06478465757314898
join,72,0.0638971965105031
templates,72,0.0638971965105031
https,72,0.0638971965105031
iis,71,0.06300973544785723
android-edittext,71,0.06300973544785723
methods,70,0.062122274385211354
diff,70,0.062122274385211354
spring-mvc,70,0.062122274385211354
search,70,0.062122274385211354
orm,70,0.062122274385211354
excel,70,0.062122274385211354
foreach,69,0.06123481332256547
vb.net,68,0.0603473522599196
makefile,67,0.059459891197273726
markdown,66,0.058572430134627845
utf-8,66,0.058572430134627845
jquery-selectors,66,0.058572430134627845
kotlin,66,0.058572430134627845
ipad,65,0.05768496907198197
boolean,65,0.05768496907198197
django-models,65,0.05768496907198197
twitter-bootstrap-3,65,0.05768496907198197
razor,64,0.0567975080093361
internet-explorer,64,0.0567975080093361
initialization,64,0.0567975080093361
error-handling,64,0.0567975080093361
react-native,64,0.0567975080093361
editor,64,0.0567975080093361
jquery-ui,63,0.05591004694669022
arraylist,62,0.055022585884044344
iframe,62,0.055022585884044344
visual-studio-2012,61,0.05413512482139846
facebook,61,0.05413512482139846
newline,61,0.05413512482139846
android-intent,61,0.05413512482139846
sed,61,0.05413512482139846
hashmap,61,0.05413512482139846
escaping,61,0.05413512482139846
numbers,60,0.05324766375875259
find,60,0.05324766375875259
int,60,0.05324766375875259
cookies,60,0.05324766375875259
ggplot2,60,0.05324766375875259
redirect,60,0.05324766375875259
android-recyclerview,60,0.05324766375875259
select,60,0.05324766375875259
parameters,60,0.05324766375875259
firefox,59,0.052360202696106715
google-maps,59,0.052360202696106715
type-conversion,59,0.052360202696106715
comparison,59,0.052360202696106715
google-chrome-devtools,59,0.052360202696106715
uikit,59,0.052360202696106715
web-services,59,0.052360202696106715
ios7,58,0.051472741633460835
visual-studio-2008,57,0.05058528057081496
promise,57,0.05058528057081496
vector,57,0.05058528057081496
mocking,56,0.04969781950816909
import,56,0.04969781950816909
scroll,56,0.04969781950816909
arguments,55,0.0488103584455232
module,55,0.0488103584455232
svg,55,0.0488103584455232
copy,55,0.0488103584455232
asp.net-mvc-4,55,0.0488103584455232
uiview,55,0.0488103584455232
android-emulator,55,0.0488103584455232
mercurial,54,0.047922897382877326
button,54,0.047922897382877326
switch-statement,54,0.047922897382877326
fonts,54,0.047922897382877326
java-stream,54,0.047922897382877326
jar,53,0.04703543632023145
scope,53,0.04703543632023145
base64,53,0.04703543632023145
iterator,53,0.04703543632023145
jvm,52,0.04614797525758557
html-table,52,0.04614797525758557
virtualenv,52,0.04614797525758557
cors,52,0.04614797525758557
visual-studio-2015,52,0.04614797525758557
homebrew,52,0.04614797525758557
printing,52,0.04614797525758557
jenkins,52,0.04614797525758557
webpack,51,0.0452605141949397
asp.net-core,51,0.0452605141949397
architecture,51,0.0452605141949397
package,51,0.0452605141949397
nginx,51,0.0452605141949397
passwords,51,0.0452605141949397
mockito,51,0.0452605141949397
jakarta-ee,51,0.0452605141949397
git-merge,51,0.0452605141949397
commit,51,0.0452605141949397
whitespace,51,0.0452605141949397
timezone,50,0.044373053132293824
io,50,0.044373053132293824
visual-studio-2013,49,0.043485592069647944
reference,49,0.043485592069647944
ios-simulator,49,0.043485592069647944
warnings,49,0.043485592069647944
repository,49,0.043485592069647944
stored-procedures,49,0.043485592069647944
version,49,0.043485592069647944
adb,49,0.043485592069647944
plot,49,0.043485592069647944
annotations,48,0.04259813100700207
iteration,48,0.04259813100700207
comments,48,0.04259813100700207
sublimetext,48,0.04259813100700207
assembly,48,0.04259813100700207
session,48,0.04259813100700207
file-upload,48,0.04259813100700207
tuples,48,0.04259813100700207
vi,47,0.04171066994435619
substring,47,0.04171066994435619
timestamp,47,0.04171066994435619
checkbox,47,0.04171066994435619
perl,47,0.04171066994435619
set,47,0.04171066994435619
autolayout,47,0.04171066994435619
process,47,0.04171066994435619
cross-browser,47,0.04171066994435619
installation,47,0.04171066994435619
hyperlink,47,0.04171066994435619
git-commit,46,0.040823208881710316
sockets,46,0.040823208881710316
rubygems,46,0.040823208881710316
activerecord,46,0.040823208881710316
xcode6,46,0.040823208881710316
const,46,0.040823208881710316
encryption,46,0.040823208881710316
flexbox,46,0.040823208881710316
spring-boot,46,0.040823208881710316
dependency-injection,46,0.040823208881710316
emacs,46,0.040823208881710316
concatenation,45,0.03993574781906444
uibutton,45,0.03993574781906444
rounding,45,0.03993574781906444
servlets,45,0.03993574781906444
dom-events,45,0.03993574781906444
nosql,44,0.03904828675641856
sublimetext2,44,0.03904828675641856
amazon-ec2,44,0.03904828675641856
pdf,44,0.03904828675641856
character-encoding,44,0.03904828675641856
compilation,44,0.03904828675641856
port,44,0.03904828675641856
listview,44,0.03904828675641856
cmake,43,0.03816082569377269
xaml,43,0.03816082569377269
selenium,43,0.03816082569377269
ipython,43,0.03816082569377269
flask,43,0.03816082569377269
jsp,43,0.03816082569377269
duplicates,43,0.03816082569377269
mongoose,43,0.03816082569377269
attributes,43,0.03816082569377269
heroku,42,0.037273364631126814
web-applications,42,0.037273364631126814
garbage-collection,42,0.037273364631126814
callback,42,0.037273364631126814
machine-learning,42,0.037273364631126814
git-submodules,42,0.037273364631126814
ios8,42,0.037273364631126814
apk,41,0.03638590356848093
nuget,41,0.03638590356848093
download,41,0.03638590356848093
struct,41,0.03638590356848093
filesystems,41,0.03638590356848093
vue.js,41,0.03638590356848093
.net-4.0,41,0.03638590356848093
permissions,41,0.03638590356848093
multidimensional-array,40,0.03549844250583506
wcf,40,0.03549844250583506
install,40,0.03549844250583506
amazon-s3,40,0.03549844250583506
android-actionbar,40,0.03549844250583506
tensorflow,40,0.03549844250583506
count,40,0.03549844250583506
python-import,40,0.03549844250583506
namespaces,40,0.03549844250583506
recursion,40,0.03549844250583506
redis,40,0.03549844250583506
hex,40,0.03549844250583506
query-string,40,0.03549844250583506
git-checkout,40,0.03549844250583506
canvas,40,0.03549844250583506
task-parallel-library,40,0.03549844250583506
sh,39,0.03461098144318918
tomcat,39,0.03461098144318918
constants,39,0.03461098144318918
python-2.x,39,0.03461098144318918
jackson,39,0.03461098144318918
git-push,39,0.03461098144318918
group-by,39,0.03461098144318918
certificate,38,0.033723520380543305
git-rebase,38,0.033723520380543305
foreign-keys,38,0.033723520380543305
msbuild,38,0.033723520380543305
jdbc,38,0.033723520380543305
notepad++,38,0.033723520380543305
programming-languages,38,0.033723520380543305
ssl-certificate,38,0.033723520380543305
command,38,0.033723520380543305
iis-7,37,0.03283605931789743
xpath,37,0.03283605931789743
image-processing,37,0.03283605931789743
string-formatting,37,0.03283605931789743
decimal,37,0.03283605931789743
awk,37,0.03283605931789743
angular-cli,37,0.03283605931789743
nsstring,37,0.03283605931789743
overriding,37,0.03283605931789743
redux,37,0.03283605931789743
migration,37,0.03283605931789743
c-preprocessor,37,0.03283605931789743
tcp,36,0.03194859825525155
xhtml,36,0.03194859825525155
webkit,36,0.03194859825525155
firebase,36,0.03194859825525155
docker-compose,36,0.03194859825525155
cocoapods,36,0.03194859825525155
dependencies,36,0.03194859825525155
angularjs-directive,36,0.03194859825525155
windows-services,36,0.03194859825525155
frameworks,35,0.031061137192605677
rails-activerecord,35,0.031061137192605677
xmlhttprequest,35,0.031061137192605677
filter,35,0.031061137192605677
.htaccess,35,0.031061137192605677
ssms,35,0.031061137192605677
tags,35,0.031061137192605677
printf,35,0.031061137192605677
operating-system,35,0.031061137192605677
double,35,0.031061137192605677
resources,35,0.031061137192605677
timeout,35,0.031061137192605677
closures,35,0.031061137192605677
uilabel,35,0.031061137192605677
windows-7,34,0.0301736761299598
data-binding,34,0.0301736761299598
vba,34,0.0301736761299598
git-stash,34,0.0301736761299598
xcode4,34,0.0301736761299598
c#-4.0,34,0.0301736761299598
uiviewcontroller,34,0.0301736761299598
git-diff,34,0.0301736761299598
laravel-4,34,0.0301736761299598
json.net,34,0.0301736761299598
scipy,34,0.0301736761299598
android-support-library,34,0.0301736761299598
language-design,33,0.029286215067313923
uitextfield,33,0.029286215067313923
include,33,0.029286215067313923
key,33,0.029286215067313923
memory-leaks,33,0.029286215067313923
keyword,33,0.029286215067313923
localization,33,0.029286215067313923
apache-spark,33,0.029286215067313923
view,33,0.029286215067313923
sass,33,0.029286215067313923
laravel-5,33,0.029286215067313923
line-breaks,33,0.029286215067313923
openssl,33,0.029286215067313923
swing,33,0.029286215067313923
android-viewpager,32,0.02839875400466805
cordova,32,0.02839875400466805
dialog,32,0.02839875400466805
deployment,32,0.02839875400466805
dll,32,0.02839875400466805
uri,32,0.02839875400466805
git-tag,32,0.02839875400466805
immutability,32,0.02839875400466805
gulp,32,0.02839875400466805
header,32,0.02839875400466805
storyboard,32,0.02839875400466805
conditional-operator,32,0.02839875400466805
insert,32,0.02839875400466805
rebase,32,0.02839875400466805
android-5.0-lollipop,32,0.02839875400466805
latex,32,0.02839875400466805
compiler-construction,32,0.02839875400466805
char,32,0.02839875400466805
jupyter-notebook,31,0.027511292942022172
dynamic,31,0.027511292942022172
ruby-on-rails-4,31,0.027511292942022172
animation,31,0.027511292942022172
responsive-design,31,0.027511292942022172
indentation,31,0.027511292942022172
delegates,31,0.027511292942022172
cron,31,0.027511292942022172
keyboard,31,0.027511292942022172
gdb,31,0.027511292942022172
event-handling,31,0.027511292942022172
android-resources,31,0.027511292942022172
oauth,31,0.027511292942022172
x86,31,0.027511292942022172
binary,31,0.027511292942022172
compiler-errors,30,0.026623831879376295
sql-update,30,0.026623831879376295
javadoc,30,0.026623831879376295
.net-3.5,30,0.026623831879376295
try-catch,30,0.026623831879376295
tfs,30,0.026623831879376295
range,30,0.026623831879376295
clone,30,0.026623831879376295
deprecated,30,0.026623831879376295
selenium-webdriver,30,0.026623831879376295
stream,30,0.026623831879376295
anaconda,30,0.026623831879376295
momentjs,30,0.026623831879376295
tabs,30,0.026623831879376295
linq-to-sql,30,0.026623831879376295
format,30,0.026623831879376295
automatic-ref-counting,30,0.026623831879376295
singleton,30,0.026623831879376295
html-select,30,0.026623831879376295
abstract-class,30,0.026623831879376295
model-view-controller,30,0.026623831879376295
git-pull,30,0.026623831879376295
parameter-passing,30,0.026623831879376295
clojure,29,0.025736370816730417
filenames,29,0.025736370816730417
text-editor,29,0.025736370816730417
composer-php,29,0.025736370816730417
icons,29,0.025736370816730417
code-formatting,29,0.025736370816730417
equality,29,0.025736370816730417
append,29,0.025736370816730417
build.gradle,29,0.025736370816730417
.net-core,29,0.025736370816730417
big-o,29,0.025736370816730417
git-clone,29,0.025736370816730417
ascii,29,0.025736370816730417
virtualbox,29,0.025736370816730417
resharper,29,0.025736370816730417
react-router,29,0.025736370816730417
eloquent,29,0.025736370816730417
bitmap,29,0.025736370816730417
mime-types,29,0.025736370816730417
g++,29,0.025736370816730417
command-line-arguments,29,0.025736370816730417
geometry,29,0.025736370816730417
cryptography,29,0.025736370816730417
python-requests,29,0.025736370816730417
local-storage,29,0.025736370816730417
standards,28,0.024848909754084544
max,28,0.024848909754084544
packages,28,0.024848909754084544
definition,28,0.024848909754084544
web-config,28,0.024848909754084544
sql-order-by,28,0.024848909754084544
anchor,28,0.024848909754084544
return,28,0.024848909754084544
this,28,0.024848909754084544
alignment,28,0.024848909754084544
boost,28,0.024848909754084544
trim,28,0.024848909754084544
rename,28,0.024848909754084544
nullable,28,0.024848909754084544
websocket,28,0.024848909754084544
kubernetes,28,0.024848909754084544
pass-by-reference,28,0.024848909754084544
app-store-connect,27,0.023961448691438663
computer-science,27,0.023961448691438663
stack-trace,27,0.023961448691438663
versioning,27,0.023961448691438663
linker,27,0.023961448691438663
primary-key,27,0.023961448691438663
symfony,27,0.023961448691438663
elasticsearch,27,0.023961448691438663
locking,27,0.023961448691438663
dockerfile,27,0.023961448691438663
profiling,27,0.023961448691438663
uinavigationbar,27,0.023961448691438663
string-concatenation,27,0.023961448691438663
macros,27,0.023961448691438663
case-insensitive,27,0.023961448691438663
mvvm,27,0.023961448691438663
modal-dialog,27,0.023961448691438663
timer,27,0.023961448691438663
background,27,0.023961448691438663
character,27,0.023961448691438663
command-line-interface,27,0.023961448691438663
ado.net,26,0.023073987628792786
visual-c++,26,0.023073987628792786
get,26,0.023073987628792786
border,26,0.023073987628792786
slice,26,0.023073987628792786
sqlalchemy,26,0.023073987628792786
stack,26,0.023073987628792786
vertical-alignment,26,0.023073987628792786
git-reset,26,0.023073987628792786
bit-manipulation,26,0.023073987628792786
httprequest,26,0.023073987628792786
video,26,0.023073987628792786
vagrant,26,0.023073987628792786
decorator,26,0.023073987628792786
alter-table,26,0.023073987628792786
pipe,26,0.023073987628792786
qt,26,0.023073987628792786
overloading,26,0.023073987628792786
width,26,0.023073987628792786
nullpointerexception,26,0.023073987628792786
nested,26,0.023073987628792786
nsdate,26,0.023073987628792786
transactions,26,0.023073987628792786
interface-builder,26,0.023073987628792786
height,26,0.023073987628792786
urlencode,26,0.023073987628792786
proxy,26,0.023073987628792786
matrix,25,0.022186526566146912
visual-studio-2017,25,0.022186526566146912
tortoisesvn,25,0.022186526566146912
generator,25,0.022186526566146912
hashcode,25,0.022186526566146912
private,25,0.022186526566146912
media-queries,25,0.022186526566146912
google-maps-api-3,25,0.022186526566146912
onclick,25,0.022186526566146912
google-chrome-extension,25,0.022186526566146912
core-data,25,0.022186526566146912
rspec,25,0.022186526566146912
overflow,25,0.022186526566146912
padding,25,0.022186526566146912
xcode8,25,0.022186526566146912
imageview,25,0.022186526566146912
entity-framework-4,25,0.022186526566146912
ienumerable,25,0.022186526566146912
heap,25,0.022186526566146912
list-comprehension,25,0.022186526566146912
cross-platform,25,0.022186526566146912
jsf,25,0.022186526566146912
django-templates,25,0.022186526566146912
constraints,25,0.022186526566146912
sudo,25,0.022186526566146912
wordpress,25,0.022186526566146912
bootstrap-4,25,0.022186526566146912
rxjs,25,0.022186526566146912
yaml,25,0.022186526566146912
javascript-objects,25,0.022186526566146912
groovy,24,0.021299065503501035
angularjs-scope,24,0.021299065503501035
new-operator,24,0.021299065503501035
android-asynctask,24,0.021299065503501035
matlab,24,0.021299065503501035
stdout,24,0.021299065503501035
backbone.js,24,0.021299065503501035
continuous-integration,24,0.021299065503501035
pdo,24,0.021299065503501035
final,24,0.021299065503501035
rust,24,0.021299065503501035
parallel-processing,24,0.021299065503501035
equals,24,0.021299065503501035
android-listview,24,0.021299065503501035
command-prompt,24,0.021299065503501035
undefined,24,0.021299065503501035
push,24,0.021299065503501035
ef-code-first,24,0.021299065503501035
nan,24,0.021299065503501035
language-lawyer,24,0.021299065503501035
uiimage,24,0.021299065503501035
ansible,24,0.021299065503501035
exit,24,0.021299065503501035
python-internals,24,0.021299065503501035
localhost,24,0.021299065503501035
drop-down-menu,24,0.021299065503501035
smtp,24,0.021299065503501035
http-status-codes,24,0.021299065503501035
git-remote,23,0.020411604440855158
dns,23,0.020411604440855158
clipboard,23,0.020411604440855158
build-process,23,0.020411604440855158
angularjs-ng-repeat,23,0.020411604440855158
pretty-print,23,0.020411604440855158
polymorphism,23,0.020411604440855158
guid,23,0.020411604440855158
declaration,23,0.020411604440855158
uinavigationcontroller,23,0.020411604440855158
neural-network,23,0.020411604440855158
zip,23,0.020411604440855158
multiline,23,0.020411604440855158
mobile,23,0.020411604440855158
cross-domain,23,0.020411604440855158
sleep,23,0.020411604440855158
xcode5,23,0.020411604440855158
scikit-learn,23,0.020411604440855158
assert,23,0.020411604440855158
linq-to-entities,23,0.020411604440855158
compare,23,0.020411604440855158
inputstream,23,0.020411604440855158
textarea,23,0.020411604440855158
autocomplete,23,0.020411604440855158
winapi,23,0.020411604440855158
gson,23,0.020411604440855158
http-post,23,0.020411604440855158
textbox,23,0.020411604440855158
tdd,23,0.020411604440855158
cygwin,23,0.020411604440855158
soap,23,0.020411604440855158
word-wrap,23,0.020411604440855158
variable-assignment,22,0.01952414337820928
export,22,0.01952414337820928
number-formatting,22,0.01952414337820928
jasmine,22,0.01952414337820928
graphics,22,0.01952414337820928
radio-button,22,0.01952414337820928
focus,22,0.01952414337820928
uuid,22,0.01952414337820928
git-bash,22,0.01952414337820928
global-variables,22,0.01952414337820928
conda,22,0.01952414337820928
jquery-plugins,22,0.01952414337820928
bitbucket,22,0.01952414337820928
geolocation,22,0.01952414337820928
operator-overloading,22,0.01952414337820928
rake,22,0.01952414337820928
opencv,22,0.01952414337820928
google-play,22,0.01952414337820928
schema,22,0.01952414337820928
jquery-events,22,0.01952414337820928
resize,22,0.01952414337820928
ios5,22,0.01952414337820928
service,22,0.01952414337820928
favicon,22,0.01952414337820928
app-store,22,0.01952414337820928
sublimetext3,22,0.01952414337820928
calendar,22,0.01952414337820928
swift3,22,0.01952414337820928
map,22,0.01952414337820928
quotes,21,0.018636682315563407
md5,21,0.018636682315563407
lodash,21,0.018636682315563407
size,21,0.018636682315563407
iis-express,21,0.018636682315563407
.net-4.5,21,0.018636682315563407
synchronization,21,0.018636682315563407
argparse,21,0.018636682315563407
distinct,21,0.018636682315563407
git-log,21,0.018636682315563407
zsh,21,0.018636682315563407
java-7,21,0.018636682315563407
line,21,0.018636682315563407
xsd,21,0.018636682315563407
backup,21,0.018636682315563407
64-bit,21,0.018636682315563407
ssh-keys,21,0.018636682315563407
compression,21,0.018636682315563407
html-lists,21,0.018636682315563407
thread-safety,21,0.018636682315563407
return-value,21,0.018636682315563407
google-play-services,21,0.018636682315563407
subprocess,21,0.018636682315563407
unique,21,0.018636682315563407
notifications,21,0.018636682315563407
language-features,21,0.018636682315563407
console-application,21,0.018636682315563407
audio,20,0.01774922125291753
maven-3,20,0.01774922125291753
webview,20,0.01774922125291753
benchmarking,20,0.01774922125291753
rvm,20,0.01774922125291753
javascript-events,20,0.01774922125291753
pycharm,20,0.01774922125291753
android-view,20,0.01774922125291753
label,20,0.01774922125291753
material-design,20,0.01774922125291753
msysgit,20,0.01774922125291753
jupyter,20,0.01774922125291753
mutex,20,0.01774922125291753
httpwebrequest,20,0.01774922125291753
android-context,20,0.01774922125291753
android-manifest,20,0.01774922125291753
safari,20,0.01774922125291753
introspection,20,0.01774922125291753
bower,20,0.01774922125291753
sdk,20,0.01774922125291753
socket.io,20,0.01774922125291753
ffmpeg,20,0.01774922125291753
android-appcompat,20,0.01774922125291753
position,20,0.01774922125291753
html-input,20,0.01774922125291753
statistics,20,0.01774922125291753
internet-explorer-8,20,0.01774922125291753
touch,20,0.01774922125291753
wget,20,0.01774922125291753
android-widget,19,0.016861760190271653
extension-methods,19,0.016861760190271653
dotnet-httpclient,19,0.016861760190271653
scheduled-tasks,19,0.016861760190271653
plugins,19,0.016861760190271653
classpath,19,0.016861760190271653
mobile-safari,19,0.016861760190271653
graph,19,0.016861760190271653
undefined-behavior,19,0.016861760190271653
es6-promise,19,0.016861760190271653
ternary-operator,19,0.016861760190271653
pull-request,19,0.016861760190271653
scrollbar,19,0.016861760190271653
phpmyadmin,19,0.016861760190271653
byte,19,0.016861760190271653
unix-timestamp,19,0.016861760190271653
android-softkeyboard,19,0.016861760190271653
nunit,19,0.016861760190271653
out-of-memory,19,0.016861760190271653
spring-data-jpa,19,0.016861760190271653
git-fetch,19,0.016861760190271653
while-loop,19,0.016861760190271653
background-color,19,0.016861760190271653
android-service,19,0.016861760190271653
webserver,19,0.016861760190271653
ip-address,19,0.016861760190271653
mod-rewrite,19,0.016861760190271653
centos,19,0.016861760190271653
variadic-functions,19,0.016861760190271653
settings,18,0.015974299127625775
request,18,0.015974299127625775
android-linearlayout,18,0.015974299127625775
jwt,18,0.015974299127625775
typedef,18,0.015974299127625775
hadoop,18,0.015974299127625775
hidden-features,18,0.015974299127625775
optional,18,0.015974299127625775
default-value,18,0.015974299127625775
junit4,18,0.015974299127625775
std,18,0.015974299127625775
location,18,0.015974299127625775
window,18,0.015974299127625775
uiscrollview,18,0.015974299127625775
android-drawable,18,0.015974299127625775
undo,18,0.015974299127625775
google-app-engine,18,0.015974299127625775
special-characters,18,0.015974299127625775
clang,18,0.015974299127625775
greatest-n-per-group,18,0.015974299127625775
xslt,18,0.015974299127625775
flutter,18,0.015974299127625775
babeljs,18,0.015974299127625775
database-table,18,0.015974299127625775
complexity-theory,18,0.015974299127625775
asp.net-mvc-5,18,0.015974299127625775
youtube,18,0.015974299127625775
upload,18,0.015974299127625775
uiwebview,18,0.015974299127625775
underscore.js,18,0.015974299127625775
uninstall,18,0.015974299127625775
datatable,18,0.015974299127625775
xampp,18,0.015974299127625775
gzip,18,0.015974299127625775
contains,17,0.0150868380649799
eclipse-plugin,17,0.0150868380649799
text-files,17,0.0150868380649799
coffeescript,17,0.0150868380649799
vscode-settings,17,0.0150868380649799
dplyr,17,0.0150868380649799
tmux,17,0.0150868380649799
mocha,17,0.0150868380649799
css-position,17,0.0150868380649799
obfuscation,17,0.0150868380649799
retrofit,17,0.0150868380649799
asp.net-identity,17,0.0150868380649799
ios9,17,0.0150868380649799
git-rm,17,0.0150868380649799
ios6,17,0.0150868380649799
theory,17,0.0150868380649799
oauth-2.0,17,0.0150868380649799
angular2-routing,17,0.0150868380649799
powershell-2.0,17,0.0150868380649799
setuptools,17,0.0150868380649799
precision,17,0.0150868380649799
breakpoints,17,0.0150868380649799
uiimageview,17,0.0150868380649799
